Country,Year,Renewable_Per_Capita,Unit,Source
Cook Islands,2000,0.0,WPC,Renewable electricity generating capacity from IRENA's electricity capacity database. Population data from the United Nations World Population Prospects.
Cook Islands,2000,3.586,WPC,Renewable electricity generating capacity from IRENA's electricity capacity database. Population data from the United Nations World Population Prospects.
Cook Islands,2000,3.586,WPC,Renewable electricity generating capacity from IRENA's electricity capacity database. Population data from the United Nations World Population Prospects.
Cook Islands,2000,0.0,WPC,Renewable electricity generating capacity from IRENA's electricity capacity database. Population data from the United Nations World Population Prospects.
Cook Islands,2000,0.0,WPC,Renewable electricity generating capacity from IRENA's electricity capacity database. Population data from the United Nations World Population Prospects.
Cook Islands,2000,0.0,WPC,Renewable electricity generating capacity from IRENA's electricity capacity database. Population data from the United Nations World Population Prospects.
Fiji,2000,130.393,WPC,Renewable electricity generating capacity from IRENA's electricity capacity database. Population data from the United Nations World Population Prospects.
Fiji,2000,102.059,WPC,Renewable electricity generating capacity from IRENA's electricity capacity database. Population data from the United Nations World Population Prospects.
Fiji,2000,0.072,WPC,Renewable electricity generating capacity from IRENA's electricity capacity database. Population data from the United Nations World Population Prospects.
Fiji,2000,0.089,WPC,Renewable electricity generating capacity from IRENA's electricity capacity database. Population data from the United Nations World Population Prospects.
Fiji,2000,28.173,WPC,Renewable electricity generating capacity from IRENA's electricity capacity database. Population data from the United Nations World Population Prospects.
Fiji,2000,0.0,WPC,Renewable electricity generating capacity from IRENA's electricity capacity database. Population data from the United Nations World Population Prospects.
Micronesia,2000,0.895,WPC,Renewable electricity generating capacity from IRENA's electricity capacity database. Population data from the United Nations World Population Prospects.
Micronesia,2000,19.336,WPC,Renewable electricity generating capacity from IRENA's electricity capacity database. Population data from the United Nations World Population Prospects.
Micronesia,2000,0.0,WPC,Renewable electricity generating capacity from IRENA's electricity capacity database. Population data from the United Nations World Population Prospects.
Micronesia,2000,18.441,WPC,Renewable electricity generating capacity from IRENA's electricity capacity database. Population data from the United Nations World Population Prospects.
Micronesia,2000,0.0,WPC,Renewable electricity generating capacity from IRENA's electricity capacity database. Population data from the United Nations World Population Prospects.
Micronesia,2000,0.0,WPC,Renewable electricity generating capacity from IRENA's electricity capacity database. Population data from the United Nations World Population Prospects.
Kiribati,2000,0.0,WPC,Renewable electricity generating capacity from IRENA's electricity capacity database. Population data from the United Nations World Population Prospects.
Kiribati,2000,0.0,WPC,Renewable electricity generating capacity from IRENA's electricity capacity database. Population data from the United Nations World Population Prospects.
Kiribati,2000,0.0,WPC,Renewable electricity generating capacity from IRENA's electricity capacity database. Population data from the United Nations World Population Prospects.
Kiribati,2000,0.698,WPC,Renewable electricity generating capacity from IRENA's electricity capacity database. Population data from the United Nations World Population Prospects.
Kiribati,2000,0.0,WPC,Renewable electricity generating capacity from IRENA's electricity capacity database. Population data from the United Nations World Population Prospects.
Kiribati,2000,0.698,WPC,Renewable electricity generating capacity from IRENA's electricity capacity database. Population data from the United Nations World Population Prospects.
Marshall Islands,2000,0.738,WPC,Renewable electricity generating capacity from IRENA's electricity capacity database. Population data from the United Nations World Population Prospects.
Marshall Islands,2000,0.0,WPC,Renewable electricity generating capacity from IRENA's electricity capacity database. Population data from the United Nations World Population Prospects.
Marshall Islands,2000,0.0,WPC,Renewable electricity generating capacity from IRENA's electricity capacity database. Population data from the United Nations World Population Prospects.
Marshall Islands,2000,0.0,WPC,Renewable electricity generating capacity from IRENA's electricity capacity database. Population data from the United Nations World Population Prospects.
Marshall Islands,2000,0.0,WPC,Renewable electricity generating capacity from IRENA's electricity capacity database. Population data from the United Nations World Population Prospects.
Marshall Islands,2000,0.738,WPC,Renewable electricity generating capacity from IRENA's electricity capacity database. Population data from the United Nations World Population Prospects.
New Caledonia,2000,17.266,WPC,Renewable electricity generating capacity from IRENA's electricity capacity database. Population data from the United Nations World Population Prospects.
New Caledonia,2000,0.0,WPC,Renewable electricity generating capacity from IRENA's electricity capacity database. Population data from the United Nations World Population Prospects.
New Caledonia,2000,0.0,WPC,Renewable electricity generating capacity from IRENA's electricity capacity database. Population data from the United Nations World Population Prospects.
New Caledonia,2000,0.858,WPC,Renewable electricity generating capacity from IRENA's electricity capacity database. Population data from the United Nations World Population Prospects.
New Caledonia,2000,360.888,WPC,Renewable electricity generating capacity from IRENA's electricity capacity database. Population data from the United Nations World Population Prospects.
New Caledonia,2000,342.764,WPC,Renewable electricity generating capacity from IRENA's electricity capacity database. Population data from the United Nations World Population Prospects.
Nauru,2000,0.0,WPC,Renewable electricity generating capacity from IRENA's electricity capacity database. Population data from the United Nations World Population Prospects.
Nauru,2000,0.0,WPC,Renewable electricity generating capacity from IRENA's electricity capacity database. Population data from the United Nations World Population Prospects.
Nauru,2000,0.0,WPC,Renewable electricity generating capacity from IRENA's electricity capacity database. Population data from the United Nations World Population Prospects.
Nauru,2000,0.0,WPC,Renewable electricity generating capacity from IRENA's electricity capacity database. Population data from the United Nations World Population Prospects.
Nauru,2000,0.0,WPC,Renewable electricity generating capacity from IRENA's electricity capacity database. Population data from the United Nations World Population Prospects.
Nauru,2000,0.0,WPC,Renewable electricity generating capacity from IRENA's electricity capacity database. Population data from the United Nations World Population Prospects.
Niue,2000,0.0,WPC,Renewable electricity generating capacity from IRENA's electricity capacity database. Population data from the United Nations World Population Prospects.
Niue,2000,0.0,WPC,Renewable electricity generating capacity from IRENA's electricity capacity database. Population data from the United Nations World Population Prospects.
Niue,2000,0.0,WPC,Renewable electricity generating capacity from IRENA's electricity capacity database. Population data from the United Nations World Population Prospects.
Niue,2000,0.0,WPC,Renewable electricity generating capacity from IRENA's electricity capacity database. Population data from the United Nations World Population Prospects.
Niue,2000,0.0,WPC,Renewable electricity generating capacity from IRENA's electricity capacity database. Population data from the United Nations World Population Prospects.
Niue,2000,0.0,WPC,Renewable electricity generating capacity from IRENA's electricity capacity database. Population data from the United Nations World Population Prospects.
French Polynesia,2000,2.184,WPC,Renewable electricity generating capacity from IRENA's electricity capacity database. Population data from the United Nations World Population Prospects.
French Polynesia,2000,0.478,WPC,Renewable electricity generating capacity from IRENA's electricity capacity database. Population data from the United Nations World Population Prospects.
French Polynesia,2000,191.602,WPC,Renewable electricity generating capacity from IRENA's electricity capacity database. Population data from the United Nations World Population Prospects.
French Polynesia,2000,188.939,WPC,Renewable electricity generating capacity from IRENA's electricity capacity database. Population data from the United Nations World Population Prospects.
French Polynesia,2000,0.0,WPC,Renewable electricity generating capacity from IRENA's electricity capacity database. Population data from the United Nations World Population Prospects.
French Polynesia,2000,0.0,WPC,Renewable electricity generating capacity from IRENA's electricity capacity database. Population data from the United Nations World Population Prospects.
Papua New Guinea,2000,38.606,WPC,Renewable electricity generating capacity from IRENA's electricity capacity database. Population data from the United Nations World Population Prospects.
Papua New Guinea,2000,0.0,WPC,Renewable electricity generating capacity from IRENA's electricity capacity database. Population data from the United Nations World Population Prospects.
Papua New Guinea,2000,0.0,WPC,Renewable electricity generating capacity from IRENA's electricity capacity database. Population data from the United Nations World Population Prospects.
Papua New Guinea,2000,35.974,WPC,Renewable electricity generating capacity from IRENA's electricity capacity database. Population data from the United Nations World Population Prospects.
Papua New Guinea,2000,2.632,WPC,Renewable electricity generating capacity from IRENA's electricity capacity database. Population data from the United Nations World Population Prospects.
Papua New Guinea,2000,0.0,WPC,Renewable electricity generating capacity from IRENA's electricity capacity database. Population data from the United Nations World Population Prospects.
Palau,2000,0.203,WPC,Renewable electricity generating capacity from IRENA's electricity capacity database. Population data from the United Nations World Population Prospects.
Palau,2000,0.0,WPC,Renewable electricity generating capacity from IRENA's electricity capacity database. Population data from the United Nations World Population Prospects.
Palau,2000,0.203,WPC,Renewable electricity generating capacity from IRENA's electricity capacity database. Population data from the United Nations World Population Prospects.
Palau,2000,0.0,WPC,Renewable electricity generating capacity from IRENA's electricity capacity database. Population data from the United Nations World Population Prospects.
