DATAFLOW,FREQ,INDICATOR,GEO_PICT,SEX,AGE,URBANIZATION,INCOME,EDUCATION,OCCUPATION,COMPOSITE_BREAKDOWN,DISABILITY,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,REPORTING_TYPE,NATURE,DATA_SOURCE,OBS_STATUS,OBS_COMMENT
SPC:DF_BP50_5(1.0),A,SPC_7_b_1,MH,_T,_T,_T,_T,_T,_T,TRE_ALL,_T,2000,0.738,WPC,G,E,Renewable electricity generating capacity from IRENA's electricity capacity database. Population data from the United Nations World Population Prospects.,,Year-end value for installed capacity (watts) and mid-year for population
SPC:DF_BP50_5(1.0),A,SPC_7_b_1,MH,_T,_T,_T,_T,_T,_T,TRE_ALL,_T,2001,0.735,WPC,G,E,Renewable electricity generating capacity from IRENA's electricity capacity database. Population data from the United Nations World Population Prospects.,,Year-end value for installed capacity (watts) and mid-year for population
SPC:DF_BP50_5(1.0),A,SPC_7_b_1,MH,_T,_T,_T,_T,_T,_T,TRE_ALL,_T,2002,0.734,WPC,G,E,Renewable electricity generating capacity from IRENA's electricity capacity database. Population data from the United Nations World Population Prospects.,,Year-end value for installed capacity (watts) and mid-year for population
SPC:DF_BP50_5(1.0),A,SPC_7_b_1,MH,_T,_T,_T,_T,_T,_T,TRE_ALL,_T,2003,0.734,WPC,G,E,Renewable electricity generating capacity from IRENA's electricity capacity database. Population data from the United Nations World Population Prospects.,,Year-end value for installed capacity (watts) and mid-year for population
SPC:DF_BP50_5(1.0),A,SPC_7_b_1,MH,_T,_T,_T,_T,_T,_T,TRE_ALL,_T,2004,1.286,WPC,G,E,Renewable electricity generating capacity from IRENA's electricity capacity database. Population data from the United Nations World Population Prospects.,,Year-end value for installed capacity (watts) and mid-year for population
SPC:DF_BP50_5(1.0),A,SPC_7_b_1,MH,_T,_T,_T,_T,_T,_T,TRE_ALL,_T,2005,1.288,WPC,G,E,Renewable electricity generating capacity from IRENA's electricity capacity database. Population data from the United Nations World Population Prospects.,,Year-end value for installed capacity (watts) and mid-year for population
SPC:DF_BP50_5(1.0),A,SPC_7_b_1,MH,_T,_T,_T,_T,_T,_T,TRE_ALL,_T,2006,1.291,WPC,G,E,Renewable electricity generating capacity from IRENA's electricity capacity database. Population data from the United Nations World Population Prospects.,,Year-end value for installed capacity (watts) and mid-year for population
SPC:DF_BP50_5(1.0),A,SPC_7_b_1,MH,_T,_T,_T,_T,_T,_T,TRE_ALL,_T,2007,1.295,WPC,G,E,Renewable electricity generating capacity from IRENA's electricity capacity database. Population data from the United Nations World Population Prospects.,,Year-end value for installed capacity (watts) and mid-year for population
SPC:DF_BP50_5(1.0),A,SPC_7_b_1,MH,_T,_T,_T,_T,_T,_T,TRE_ALL,_T,2008,2.787,WPC,G,E,Renewable electricity generating capacity from IRENA's electricity capacity database. Population data from the United Nations World Population Prospects.,,Year-end value for installed capacity (watts) and mid-year for population
SPC:DF_BP50_5(1.0),A,SPC_7_b_1,MH,_T,_T,_T,_T,_T,_T,TRE_ALL,_T,2009,4.945,WPC,G,E,Renewable electricity generating capacity from IRENA's electricity capacity database. Population data from the United Nations World Population Prospects.,,Year-end value for installed capacity (watts) and mid-year for population
